"Month","Employee","Quota","Bookings","Attainment","Participation","Quota Held Flag","Attainment Bucket","Team","","","","","",""
"1/1/2011","Nate Nickerson"," $ 3,675 "," $ 5,122 ","139.37%","Y","Y","100-200%","MM ACQ","","","","","",""
"1/1/2011","Deangelo Vickers"," $ 7,293 "," $ 7,370 ","101.06%","Y","Y","100-200%","SB IB","","","","","",""
"1/1/2011","Val Johnson"," $ 4,185 "," $ 6,326 ","151.16%","Y","Y","100-200%","MM IB","","","","","",""
"1/1/2011","Cathy Simms"," $ 2,467 "," $ 5,463 ","221.44%","Y","Y","200-300%","SB ACQ","","","","","",""
"2/1/2011","Michael Scott"," $ 1,839 "," $ 9,997 ","543.61%","Y","Y","+300%","ENT IB","","","","","",""
"2/1/2011","Dwight Schrute"," $ 8,072 "," $ 7,117 ","88.17%","","Y","70-89%","ENT IB","","","","","",""
"2/1/2011","Jim Halpert"," $ 9,156 "," $ 6,695 ","73.12%","","Y","70-89%","ENT IB","","","","","",""
"2/1/2011","Pam Beesly"," $ 2,977 "," $ 7,663 ","257.41%","Y","Y","200-300%","ENT IB","","","","","",""
"2/1/2011","Ryan Howard"," $ 3,690 "," $ 5,732 ","155.34%","Y","Y","100-200%","ENT IB","","","","","",""
"2/1/2011","Andy Bernard"," $ 1,953 "," $ 6,210 ","317.97%","Y","Y","+300%","ENT ACQ","","","","","",""
"2/1/2011","Robert California"," $ 8,785 "," $ 9,519 ","108.36%","Y","Y","100-200%","ENT ACQ","","","","","",""
"2/1/2011","Jan Levinson"," $ 9,853 "," $ 8,123 ","82.44%","","Y","70-89%","ENT ACQ","","","","","",""
"2/1/2011","Roy Anderson"," $ 8,956 "," $ 6,497 ","72.54%","","Y","70-89%","ENT ACQ","","","","","",""
"2/1/2011","Stanley Hudson"," $ 7,624 "," $ 8,628 ","113.17%","Y","Y","100-200%","ENT ACQ","","","","","",""
"2/1/2011","Kevin Malone"," $ 5,330 "," $ 7,177 ","134.65%","Y","Y","100-200%","MM IB","","","","","",""
"2/1/2011","Meredith Palmer"," $ 4,433 "," $ 5,715 ","128.92%","Y","Y","100-200%","MM IB","","","","","",""
"2/1/2011","Angela Martin"," $ 9,094 "," $ 8,635 ","94.95%","","Y","90-99%","MM IB","","","","","",""
"2/1/2011","Oscar Martinez"," $ 4,972 "," $ 7,703 ","154.93%","Y","Y","100-200%","MM IB","","","","","",""
"2/1/2011","Phyllis Lapin"," $ 8,289 "," $ 9,519 ","114.84%","Y","Y","100-200%","MM IB","","","","","",""
"2/1/2011","Kelly Kapoor"," $ 7,069 "," $ 9,986 ","141.26%","Y","Y","100-200%","MM IB","","","","","",""
"2/1/2011","Toby Flenderson"," $ 8,279 "," $ 7,137 ","86.21%","","Y","70-89%","MM ACQ","","","","","",""
"2/1/2011","Creed Bratton"," $ 8,713 "," $ 8,132 ","93.33%","","Y","90-99%","MM ACQ","","","","","",""
"2/1/2011","Darryl Philbin"," $ 4,494 "," $ 6,752 ","150.24%","Y","Y","100-200%","MM ACQ","","","","","",""
"2/1/2011","Kelly Erin Hannon"," $ 1,065 "," $ 6,685 ","627.70%","Y","Y","+300%","MM ACQ","","","","","",""
"2/1/2011","Gabe Lewis"," $ 9,572 "," $ 9,223 ","96.35%","","Y","90-99%","MM ACQ","","","","","",""
"2/1/2011","Holly Flax"," $ 5,129 "," $ 5,045 ","98.36%","","Y","90-99%","SB IB","","","","","",""
"2/1/2011","Nellie Bertram"," $ 8,677 "," $ 6,048 ","69.70%","","Y","+300%","SB IB","","","","","",""
"2/1/2011","Clark Green"," $ 1,282 "," $ 9,472 ","738.85%","Y","Y","+300%","SB IB","","","","","",""
"2/1/2011","Pete Miller"," $ 4,241 "," $ 7,909 ","186.49%","Y","Y","100-200%","SB IB","","","","","",""
"2/1/2011","Todd Packer"," $ 3,001 "," $ 9,210 ","306.90%","Y","Y","+300%","SB IB","","","","","",""
"2/1/2011","David Wallace"," $ 5,612 "," $ 6,539 ","116.52%","Y","Y","100-200%","SB ACQ","","","","","",""
"2/1/2011","Karen Filippelli"," $ 5,391 "," $ 7,828 ","145.20%","Y","Y","100-200%","SB ACQ","","","","","",""
"2/1/2011","Charles Miner"," $ 8,538 "," $ 9,413 ","110.25%","Y","Y","100-200%","SB ACQ","","","","","",""
"2/1/2011","Jo Bennett"," $ 5,634 "," $ 8,473 ","150.39%","Y","Y","100-200%","SB ACQ","","","","","",""
"2/1/2011","Robert Lipton"," $ 1,768 "," $ 7,053 ","398.93%","Y","Y","+300%","SB ACQ","","","","","",""
"2/1/2011","Nate Nickerson"," $ 8,767 "," $ 9,098 ","103.78%","Y","Y","100-200%","MM ACQ","","","","","",""
"2/1/2011","Deangelo Vickers"," $ 2,116 "," $ 6,111 ","288.80%","Y","Y","200-300%","SB IB","","","","","",""
"2/1/2011","Val Johnson"," $ 5,965 "," $ 7,415 ","124.31%","Y","Y","100-200%","MM IB","","","","","",""
"2/1/2011","Cathy Simms"," $ 3,812 "," $ 7,953 ","208.63%","Y","Y","200-300%","SB ACQ","","","","","",""
"3/1/2011","Michael Scott"," $ 2,607 "," $ 8,119 ","311.43%","Y","Y","+300%","ENT IB","","","","","",""
"3/1/2011","Dwight Schrute"," $ 6,772 "," $ 9,972 ","147.25%","Y","Y","100-200%","ENT IB","","","","","",""
"3/1/2011","Jim Halpert"," $ 5,825 "," $ 9,527 ","163.55%","Y","Y","100-200%","ENT IB","","","","","",""
"3/1/2011","Pam Beesly"," $ 4,506 "," $ 6,434 ","142.79%","Y","Y","100-200%","ENT IB","","","","","",""
"3/1/2011","Ryan Howard"," $ 5,485 "," $ 8,894 ","162.15%","Y","Y","100-200%","ENT IB","","","","","",""
"3/1/2011","Andy Bernard"," $ 8,231 "," $ 9,117 ","110.76%","Y","Y","100-200%","ENT ACQ","","","","","",""
"3/1/2011","Robert California"," $ 8,232 "," $ 5,613 ","68.19%","","Y","30-69%","ENT ACQ","","","","","",""
"3/1/2011","Jan Levinson"," $ 8,026 "," $ 9,896 ","123.30%","Y","Y","100-200%","ENT ACQ","","","","","",""
"3/1/2011","Roy Anderson"," $ 7,314 "," $ 7,151 ","97.77%","","Y","90-99%","ENT ACQ","","","","","",""
"3/1/2011","Stanley Hudson"," $ 1,671 "," $ 6,781 ","405.80%","Y","Y","+300%","ENT ACQ","","","","","",""
"3/1/2011","Kevin Malone"," $ 1,102 "," $ 5,542 ","502.90%","Y","Y","+300%","MM IB","","","","","",""
"3/1/2011","Meredith Palmer"," $ 9,550 "," $ 5,504 ","57.63%","","Y","30-69%","MM IB","","","","","",""
"3/1/2011","Angela Martin"," $ 4,449 "," $ 7,753 ","174.26%","Y","Y","100-200%","MM IB","","","","","",""
"3/1/2011","Oscar Martinez"," $ 3,906 "," $ 5,586 ","143.01%","Y","Y","100-200%","MM IB","","","","","",""
"3/1/2011","Phyllis Lapin"," $ 3,655 "," $ 9,967 ","272.69%","Y","Y","200-300%","MM IB","","","","","",""
"3/1/2011","Kelly Kapoor"," $ 8,779 "," $ 9,428 ","107.39%","Y","Y","100-200%","MM IB","","","","","",""
"3/1/2011","Toby Flenderson"," $ 3,554 "," $ 8,586 ","241.59%","Y","Y","200-300%","MM ACQ","","","","","",""
"3/1/2011","Creed Bratton"," $ 1,964 "," $ 6,851 ","348.83%","Y","Y","+300%","MM ACQ","","","","","",""
"3/1/2011","Darryl Philbin"," $ 1,637 "," $ 9,280 ","566.89%","Y","Y","+300%","MM ACQ","","","","","",""
"3/1/2011","Kelly Erin Hannon"," $ 7,244 "," $ 8,458 ","116.76%","Y","Y","100-200%","MM ACQ","","","","","",""
"3/1/2011","Gabe Lewis"," $ 2,831 "," $ 9,613 ","339.56%","Y","Y","+300%","MM ACQ","","","","","",""
"3/1/2011","Holly Flax"," $ 9,319 "," $ 9,830 ","105.48%","Y","Y","100-200%","SB IB","","","","","",""
"3/1/2011","Nellie Bertram"," $ 3,371 "," $ 6,032 ","178.94%","Y","Y","100-200%","SB IB","","","","","",""
"3/1/2011","Clark Green"," $ 7,846 "," $ 6,527 ","83.19%","","Y","70-89%","SB IB","","","","","",""
"3/1/2011","Pete Miller"," $ 2,305 "," $ 7,844 ","340.30%","Y","Y","+300%","SB IB","","","","","",""
"3/1/2011","Todd Packer"," $ 4,981 "," $ 7,399 ","148.54%","Y","Y","100-200%","SB IB","","","","","",""
"3/1/2011","David Wallace"," $ 4,643 "," $ 8,551 ","184.17%","Y","Y","100-200%","SB ACQ","","","","","",""
"3/1/2011","Karen Filippelli"," $ 2,131 "," $ 5,010 ","235.10%","Y","Y","200-300%","SB ACQ","","","","","",""
"3/1/2011","Charles Miner"," $ 5,043 "," $ 6,824 ","135.32%","Y","Y","100-200%","SB ACQ","","","","","",""
"3/1/2011","Jo Bennett"," $ 9,230 "," $ 7,373 ","79.88%","","Y","70-89%","SB ACQ","","","","","",""
"3/1/2011","Robert Lipton"," $ 9,235 "," $ 6,547 ","70.89%","","Y","70-89%","SB ACQ","","","","","",""
"3/1/2011","Nate Nickerson"," $ 8,715 "," $ 5,078 ","58.27%","","Y","30-69%","MM ACQ","","","","","",""
"3/1/2011","Deangelo Vickers"," $ 8,376 "," $ 5,131 ","61.26%","","Y","30-69%","SB IB","","","","","",""
"3/1/2011","Val Johnson"," $ 1,684 "," $ 8,135 ","483.08%","Y","Y","+300%","MM IB","","","","","",""
"3/1/2011","Cathy Simms"," $ 1,350 "," $ 7,014 ","519.56%","Y","Y","+300%","SB ACQ","","","","","",""
"4/1/2011","Michael Scott"," $ 6,224 "," $ 7,815 ","125.56%","Y","Y","100-200%","ENT IB","","","","","",""
"4/1/2011","Dwight Schrute"," $ 7,695 "," $ 7,269 ","94.46%","","Y","90-99%","ENT IB","","","","","",""
"4/1/2011","Jim Halpert"," $ 7,731 "," $ 8,166 ","105.63%","Y","Y","100-200%","ENT IB","","","","","",""
"4/1/2011","Pam Beesly"," $ 3,538 "," $ 5,938 ","167.83%","Y","Y","100-200%","ENT IB","","","","","",""
"4/1/2011","Ryan Howard"," $ 4,781 "," $ 7,166 ","149.88%","Y","Y","100-200%","ENT IB","","","","","",""
"4/1/2011","Andy Bernard"," $ 1,030 "," $ 5,927 ","575.44%","Y","Y","+300%","ENT ACQ","","","","","",""
"4/1/2011","Robert California"," $ 5,930 "," $ 8,493 ","143.22%","Y","Y","100-200%","ENT ACQ","","","","","",""
"4/1/2011","Jan Levinson"," $ 8,646 "," $ 5,963 ","68.97%","","Y","30-69%","ENT ACQ","","","","","",""
"4/1/2011","Roy Anderson"," $ 8,833 "," $ 9,129 ","103.35%","Y","Y","100-200%","ENT ACQ","","","","","",""
"4/1/2011","Stanley Hudson"," $ 1,839 "," $ 8,284 ","450.46%","Y","Y","+300%","ENT ACQ","","","","","",""
"4/1/2011","Kevin Malone"," $ 7,658 "," $ 7,162 ","93.52%","","Y","90-99%","MM IB","","","","","",""
"4/1/2011","Meredith Palmer"," $ 9,835 "," $ 5,313 ","54.02%","","Y","30-69%","MM IB","","","","","",""
"4/1/2011","Angela Martin"," $ 7,773 "," $ 6,425 ","82.66%","","Y","70-89%","MM IB","","","","","",""
"4/1/2011","Oscar Martinez"," $ 4,019 "," $ 7,356 ","183.03%","Y","Y","100-200%","MM IB","","","","","",""
"4/1/2011","Phyllis Lapin"," $ 9,716 "," $ 6,198 ","63.79%","","Y","30-69%","MM IB","","","","","",""
"4/1/2011","Kelly Kapoor"," $ 7,167 "," $ 5,902 ","82.35%","","Y","70-89%","MM IB","","","","","",""
"4/1/2011","Toby Flenderson"," $ 6,661 "," $ 6,534 ","98.09%","","Y","90-99%","MM ACQ","","","","","",""
"4/1/2011","Creed Bratton"," $ 1,319 "," $ 7,862 ","596.06%","Y","Y","+300%","MM ACQ","","","","","",""
"4/1/2011","Darryl Philbin"," $ 5,766 "," $ 5,353 ","92.84%","","Y","90-99%","MM ACQ","","","","","",""
"4/1/2011","Kelly Erin Hannon"," $ 1,579 "," $ 6,273 ","397.28%","Y","Y","+300%","MM ACQ","","","","","",""
"4/1/2011","Gabe Lewis"," $ 1,007 "," $ 9,037 ","897.42%","Y","Y","+300%","MM ACQ","","","","","",""
"4/1/2011","Holly Flax"," $ 1,334 "," $ 8,957 ","671.44%","Y","Y","+300%","SB IB","","","","","",""
"4/1/2011","Nellie Bertram"," $ 6,005 "," $ 7,507 ","125.01%","Y","Y","100-200%","SB IB","","","","","",""
"4/1/2011","Clark Green"," $ 5,006 "," $ 9,805 ","195.86%","Y","Y","100-200%","SB IB","","","","","",""
"4/1/2011","Pete Miller"," $ 1,060 "," $ 6,779 ","639.53%","Y","Y","+300%","SB IB","","","","","",""
"4/1/2011","Todd Packer"," $ 3,264 "," $ 7,995 ","244.94%","Y","Y","200-300%","SB IB","","","","","",""
"4/1/2011","David Wallace"," $ 7,861 "," $ 8,453 ","107.53%","Y","Y","100-200%","SB ACQ","","","","","",""
"4/1/2011","Karen Filippelli"," $ 8,321 "," $ 5,839 ","70.17%","","Y","70-89%","SB ACQ","","","","","",""
"4/1/2011","Charles Miner"," $ 5,151 "," $ 5,427 ","105.36%","Y","Y","100-200%","SB ACQ","","","","","",""
"4/1/2011","Jo Bennett"," $ 3,255 "," $ 8,148 ","250.32%","Y","Y","200-300%","SB ACQ","","","","","",""
"4/1/2011","Robert Lipton"," $ 9,829 "," $ 8,199 ","83.42%","","Y","70-89%","SB ACQ","","","","","",""
"4/1/2011","Nate Nickerson"," $ 1,149 "," $ 6,394 ","556.48%","Y","Y","+300%","MM ACQ","","","","","",""
"4/1/2011","Deangelo Vickers"," $ 8,793 "," $ 7,377 ","83.90%","","Y","70-89%","SB IB","","","","","",""
"4/1/2011","Val Johnson"," $ 2,721 "," $ 8,612 ","316.50%","Y","Y","+300%","MM IB","","","","","",""
"4/1/2011","Cathy Simms"," $ 3,669 "," $ 5,526 ","150.61%","Y","Y","100-200%","SB ACQ","","","","","",""
"5/1/2011","Michael Scott"," $ 4,346 "," $ 5,613 ","129.15%","Y","Y","100-200%","ENT IB","","","","","",""
"5/1/2011","Dwight Schrute"," $ 3,366 "," $ 6,870 ","204.10%","Y","Y","200-300%","ENT IB","","","","","",""
"5/1/2011","Jim Halpert"," $ 9,889 "," $ 6,107 ","61.76%","","Y","30-69%","ENT IB","","","","","",""
"5/1/2011","Pam Beesly"," $ 4,815 "," $ 5,942 ","123.41%","Y","Y","100-200%","ENT IB","","","","","",""
"5/1/2011","Ryan Howard"," $ 7,169 "," $ 9,096 ","126.88%","Y","Y","100-200%","ENT IB","","","","","",""
"5/1/2011","Andy Bernard"," $ 8,935 "," $ 9,266 ","103.70%","Y","Y","100-200%","ENT ACQ","","","","","",""
"5/1/2011","Robert California"," $ 8,028 "," $ 5,384 ","67.07%","","Y","30-69%","ENT ACQ","","","","","",""
"5/1/2011","Jan Levinson"," $ 5,870 "," $ 9,491 ","161.69%","Y","Y","100-200%","ENT ACQ","","","","","",""
"5/1/2011","Roy Anderson"," $ 9,223 "," $ 8,298 ","89.97%","","Y","+300%","ENT ACQ","","","","","",""
"5/1/2011","Stanley Hudson"," $ 4,108 "," $ 5,895 ","143.50%","Y","Y","100-200%","ENT ACQ","","","","","",""
"5/1/2011","Kevin Malone"," $ 8,679 "," $ 5,755 ","66.31%","","Y","30-69%","MM IB","","","","","",""
"5/1/2011","Meredith Palmer"," $ 6,622 "," $ 7,492 ","113.14%","Y","Y","100-200%","MM IB","","","","","",""
"5/1/2011","Angela Martin"," $ 6,786 "," $ 9,083 ","133.85%","Y","Y","100-200%","MM IB","","","","","",""
"5/1/2011","Oscar Martinez"," $ 9,022 "," $ 5,803 ","64.32%","","Y","30-69%","MM IB","","","","","",""
"5/1/2011","Phyllis Lapin"," $ 7,970 "," $ 8,391 ","105.28%","Y","Y","100-200%","MM IB","","","","","",""
"5/1/2011","Kelly Kapoor"," $ 9,012 "," $ 5,536 ","61.43%","","Y","30-69%","MM IB","","","","","",""
"5/1/2011","Toby Flenderson"," $ 3,754 "," $ 8,063 ","214.78%","Y","Y","200-300%","MM ACQ","","","","","",""
"5/1/2011","Creed Bratton"," $ 8,647 "," $ 9,099 ","105.23%","Y","Y","100-200%","MM ACQ","","","","","",""
"5/1/2011","Darryl Philbin"," $ 4,778 "," $ 7,898 ","165.30%","Y","Y","100-200%","MM ACQ","","","","","",""
"5/1/2011","Kelly Erin Hannon"," $ 4,792 "," $ 9,377 ","195.68%","Y","Y","100-200%","MM ACQ","","","","","",""
"5/1/2011","Gabe Lewis"," $ 2,215 "," $ 6,294 ","284.15%","Y","Y","200-300%","MM ACQ","","","","","",""
"5/1/2011","Holly Flax"," $ 2,969 "," $ 7,776 ","261.91%","Y","Y","200-300%","SB IB","","","","","",""
"5/1/2011","Nellie Bertram"," $ 1,608 "," $ 8,699 ","540.98%","Y","Y","+300%","SB IB","","","","","",""
"5/1/2011","Clark Green"," $ 1,369 "," $ 6,079 ","444.05%","Y","Y","+300%","SB IB","","","","","",""
"5/1/2011","Pete Miller"," $ 5,058 "," $ 8,019 ","158.54%","Y","Y","100-200%","SB IB","","","","","",""
"5/1/2011","Todd Packer"," $ 7,873 "," $ 8,123 ","103.18%","Y","Y","100-200%","SB IB","","","","","",""
"5/1/2011","David Wallace"," $ 1,099 "," $ 9,001 ","819.02%","Y","Y","+300%","SB ACQ","","","","","",""
"5/1/2011","Karen Filippelli"," $ 3,908 "," $ 8,181 ","209.34%","Y","Y","200-300%","SB ACQ","","","","","",""
"5/1/2011","Charles Miner"," $ 2,364 "," $ 5,037 ","213.07%","Y","Y","200-300%","SB ACQ","","","","","",""
"5/1/2011","Jo Bennett"," $ 6,887 "," $ 8,185 ","118.85%","Y","Y","100-200%","SB ACQ","","","","","",""
"5/1/2011","Robert Lipton"," $ 8,013 "," $ 9,644 ","120.35%","Y","Y","100-200%","SB ACQ","","","","","",""
"5/1/2011","Nate Nickerson"," $ 8,216 "," $ 7,423 ","90.35%","","Y","90-99%","MM ACQ","","","","","",""
"5/1/2011","Deangelo Vickers"," $ 3,817 "," $ 7,261 ","190.23%","Y","Y","100-200%","SB IB","","","","","",""
"5/1/2011","Val Johnson"," $ 4,968 "," $ 9,778 ","196.82%","Y","Y","100-200%","MM IB","","","","","",""
"5/1/2011","Cathy Simms"," $ 8,003 "," $ 7,705 ","96.28%","","Y","90-99%","SB ACQ","","","","","",""
"6/1/2011","Michael Scott"," $ 2,507 "," $ 9,768 ","389.63%","Y","Y","+300%","ENT IB","","","","","",""
"6/1/2011","Dwight Schrute"," $ 1,708 "," $ 5,794 ","339.23%","Y","Y","+300%","ENT IB","","","","","",""
"6/1/2011","Jim Halpert"," $ 1,174 "," $ 5,203 ","443.19%","Y","Y","+300%","ENT IB","","","","","",""
"6/1/2011","Pam Beesly"," $ 8,305 "," $ 8,658 ","104.25%","Y","Y","100-200%","ENT IB","","","","","",""
"6/1/2011","Ryan Howard"," $ 4,694 "," $ 8,181 ","174.29%","Y","Y","100-200%","ENT IB","","","","","",""
"6/1/2011","Andy Bernard"," $ 8,802 "," $ 10,000 ","113.61%","Y","Y","100-200%","ENT ACQ","","","","","",""
"6/1/2011","Robert California"," $ 3,472 "," $ 9,603 ","276.58%","Y","Y","200-300%","ENT ACQ","","","","","",""
"6/1/2011","Jan Levinson"," $ 5,349 "," $ 5,171 ","96.67%","","Y","90-99%","ENT ACQ","","","","","",""
"6/1/2011","Roy Anderson"," $ 3,003 "," $ 6,246 ","207.99%","Y","Y","200-300%","ENT ACQ","","","","","",""
"6/1/2011","Stanley Hudson"," $ 5,783 "," $ 9,249 ","159.93%","Y","Y","100-200%","ENT ACQ","","","","","",""
"6/1/2011","Kevin Malone"," $ 6,217 "," $ 6,277 ","100.97%","Y","Y","100-200%","MM IB","","","","","",""
"6/1/2011","Meredith Palmer"," $ 6,416 "," $ 9,183 ","143.13%","Y","Y","100-200%","MM IB","","","","","",""
"6/1/2011","Angela Martin"," $ 9,217 "," $ 9,699 ","105.23%","Y","Y","100-200%","MM IB","","","","","",""
"6/1/2011","Oscar Martinez"," $ 7,497 "," $ 8,703 ","116.09%","Y","Y","100-200%","MM IB","","","","","",""
"6/1/2011","Phyllis Lapin"," $ 7,637 "," $ 7,635 ","99.97%","","Y","+300%","MM IB","","","","","",""
"6/1/2011","Kelly Kapoor"," $ 5,191 "," $ 8,476 ","163.28%","Y","Y","100-200%","MM IB","","","","","",""
"6/1/2011","Toby Flenderson"," $ 1,902 "," $ 6,695 ","352.00%","Y","Y","+300%","MM ACQ","","","","","",""
"6/1/2011","Creed Bratton"," $ 5,226 "," $ 6,606 ","126.41%","Y","Y","100-200%","MM ACQ","","","","","",""
"6/1/2011","Darryl Philbin"," $ 9,717 "," $ 8,535 ","87.84%","","Y","70-89%","MM ACQ","","","","","",""
"6/1/2011","Kelly Erin Hannon"," $ 5,235 "," $ 8,757 ","167.28%","Y","Y","100-200%","MM ACQ","","","","","",""
"6/1/2011","Gabe Lewis"," $ 8,313 "," $ 7,072 ","85.07%","","Y","70-89%","MM ACQ","","","","","",""
"6/1/2011","Holly Flax"," $ 6,906 "," $ 9,068 ","131.31%","Y","Y","100-200%","SB IB","","","","","",""
"6/1/2011","Nellie Bertram"," $ 7,111 "," $ 5,288 ","74.36%","","Y","70-89%","SB IB","","","","","",""
"6/1/2011","Clark Green"," $ 1,454 "," $ 6,201 ","426.48%","Y","Y","+300%","SB IB","","","","","",""
"6/1/2011","Pete Miller"," $ 9,001 "," $ 9,652 ","107.23%","Y","Y","100-200%","SB IB","","","","","",""
"6/1/2011","Todd Packer"," $ 8,706 "," $ 8,258 ","94.85%","","Y","90-99%","SB IB","","","","","",""
"6/1/2011","David Wallace"," $ 4,785 "," $ 8,024 ","167.69%","Y","Y","100-200%","SB ACQ","","","","","",""
"6/1/2011","Karen Filippelli"," $ 5,562 "," $ 7,767 ","139.64%","Y","Y","100-200%","SB ACQ","","","","","",""
"6/1/2011","Charles Miner"," $ 2,275 "," $ 7,230 ","317.80%","Y","Y","+300%","SB ACQ","","","","","",""
"6/1/2011","Jo Bennett"," $ 4,344 "," $ 5,234 ","120.49%","Y","Y","100-200%","SB ACQ","","","","","",""
"6/1/2011","Robert Lipton"," $ 4,029 "," $ 7,934 ","196.92%","Y","Y","100-200%","SB ACQ","","","","","",""
"6/1/2011","Nate Nickerson"," $ 5,828 "," $ 8,913 ","152.93%","Y","Y","100-200%","MM ACQ","","","","","",""
"6/1/2011","Deangelo Vickers"," $ 9,736 "," $ 5,963 ","61.25%","","Y","30-69%","SB IB","","","","","",""
"6/1/2011","Val Johnson"," $ 8,934 "," $ 7,107 ","79.55%","","Y","70-89%","MM IB","","","","","",""
"6/1/2011","Cathy Simms"," $ 4,578 "," $ 9,357 ","204.39%","Y","Y","200-300%","SB ACQ","","","","","",""
"7/1/2011","Michael Scott"," $ 3,593 "," $ 9,706 ","270.14%","Y","Y","200-300%","ENT IB","","","","","",""
"7/1/2011","Dwight Schrute"," $ 4,448 "," $ 6,722 ","151.12%","Y","Y","100-200%","ENT IB","","","","","",""
"7/1/2011","Jim Halpert"," $ 2,455 "," $ 5,909 ","240.69%","Y","Y","200-300%","ENT IB","","","","","",""
"7/1/2011","Pam Beesly"," $ 3,370 "," $ 6,323 ","187.63%","Y","Y","100-200%","ENT IB","","","","","",""
"7/1/2011","Ryan Howard"," $ 8,664 "," $ 8,951 ","103.31%","Y","Y","100-200%","ENT IB","","","","","",""
"7/1/2011","Andy Bernard"," $ 7,106 "," $ 7,608 ","107.06%","Y","Y","100-200%","ENT ACQ","","","","","",""
"7/1/2011","Robert California"," $ 3,884 "," $ 6,944 ","178.78%","Y","Y","100-200%","ENT ACQ","","","","","",""
"7/1/2011","Jan Levinson"," $ 2,271 "," $ 7,301 ","321.49%","Y","Y","+300%","ENT ACQ","","","","","",""
